"code","billable","short_desc","long_desc","three_digit","major","sub_chapter","chapter"
"00320",TRUE,"Local salmonella inf NOS","Localized salmonella infection, unspecified","003","Other salmonella infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00321",TRUE,"Salmonella meningitis","Salmonella meningitis","003","Other salmonella infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00322",TRUE,"Salmonella pneumonia","Salmonella pneumonia","003","Other salmonella infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00323",TRUE,"Salmonella arthritis","Salmonella arthritis","003","Other salmonella infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00324",TRUE,"Salmonella osteomyelitis","Salmonella osteomyelitis","003","Other salmonella infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00329",TRUE,"Local salmonella inf NEC","Other localized salmonella infections","003","Other salmonella infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0038",TRUE,"Salmonella infection NEC","Other specified salmonella infections","003","Other salmonella infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0039",TRUE,"Salmonella infection NOS","Salmonella infection, unspecified","003","Other salmonella infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"004",FALSE,"Shigellosis","Shigellosis","004","Shigellosis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0040",TRUE,"Shigella dysenteriae","Shigella dysenteriae","004","Shigellosis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0041",TRUE,"Shigella flexneri","Shigella flexneri","004","Shigellosis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0042",TRUE,"Shigella boydii","Shigella boydii","004","Shigellosis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0043",TRUE,"Shigella sonnei","Shigella sonnei","004","Shigellosis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0048",TRUE,"Shigella infection NEC","Other specified shigella infections","004","Shigellosis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0049",TRUE,"Shigellosis NOS","Shigellosis, unspecified","004","Shigellosis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"005",FALSE,"Other food poisoning (bacterial)","Other food poisoning (bacterial)","005","Other food poisoning (bacterial)","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0050",TRUE,"Staph food poisoning","Staphylococcal food poisoning","005","Other food poisoning (bacterial)","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0051",TRUE,"Botulism food poisoning","Botulism food poisoning","005","Other food poisoning (bacterial)","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0052",TRUE,"Food pois d/t c. perfrin","Food poisoning due to Clostridium perfringens (C. welchii)","005","Other food poisoning (bacterial)","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0053",TRUE,"Food pois: clostrid NEC","Food poisoning due to other Clostridia","005","Other food poisoning (bacterial)","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0054",TRUE,"Food pois: v. parahaem","Food poisoning due to Vibrio parahaemolyticus","005","Other food poisoning (bacterial)","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0058",FALSE,"Other bacterial food poisoning","Other bacterial food poisoning","005","Other food poisoning (bacterial)","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00581",TRUE,"Food poisn d/t v. vulnif","Food poisoning due to Vibrio vulnificus","005","Other food poisoning (bacterial)","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00589",TRUE,"Bact food poisoning NEC","Other bacterial food poisoning","005","Other food poisoning (bacterial)","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0059",TRUE,"Food poisoning NOS","Food poisoning, unspecified","005","Other food poisoning (bacterial)","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"006",FALSE,"Amebiasis","Amebiasis","006","Amebiasis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0060",TRUE,"Ac amebiasis w/o abscess","Acute amebic dysentery without mention of abscess","006","Amebiasis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0061",TRUE,"Chr amebiasis w/o absces","Chronic intestinal amebiasis without mention of abscess","006","Amebiasis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0062",TRUE,"Amebic nondysent colitis","Amebic nondysenteric colitis","006","Amebiasis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0063",TRUE,"Amebic liver abscess","Amebic liver abscess","006","Amebiasis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0064",TRUE,"Amebic lung abscess","Amebic lung abscess","006","Amebiasis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0065",TRUE,"Amebic brain abscess","Amebic brain abscess","006","Amebiasis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0066",TRUE,"Amebic skin ulceration","Amebic skin ulceration","006","Amebiasis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0068",TRUE,"Amebic infection NEC","Amebic infection of other sites","006","Amebiasis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0069",TRUE,"Amebiasis NOS","Amebiasis, unspecified","006","Amebiasis","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"007",FALSE,"Other protozoal intestinal diseases","Other protozoal intestinal diseases","007","Other protozoal intestinal diseases","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0070",TRUE,"Balantidiasis","Balantidiasis","007","Other protozoal intestinal diseases","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0071",TRUE,"Giardiasis","Giardiasis","007","Other protozoal intestinal diseases","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0072",TRUE,"Coccidiosis","Coccidiosis","007","Other protozoal intestinal diseases","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0073",TRUE,"Intest trichomoniasis","Intestinal trichomoniasis","007","Other protozoal intestinal diseases","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0074",TRUE,"Cryptosporidiosis","Cryptosporidiosis","007","Other protozoal intestinal diseases","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0075",TRUE,"Cyclosporiasis","Cyclosporiasis","007","Other protozoal intestinal diseases","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0078",TRUE,"Protozoal intest dis NEC","Other specified protozoal intestinal diseases","007","Other protozoal intestinal diseases","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0079",TRUE,"Protozoal intest dis NOS","Unspecified protozoal intestinal disease","007","Other protozoal intestinal diseases","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"008",FALSE,"Intestinal infections due to other organisms","Intestinal infections due to other organisms","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0080",FALSE,"Escherichia coli [E. coli]","Escherichia coli [E. coli]","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00800",TRUE,"Intest infec e coli NOS","Intestinal infection due to E. coli, unspecified","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00801",TRUE,"Int inf e coli entrpath","Intestinal infection due to enteropathogenic E. coli","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00802",TRUE,"Int inf e coli entrtoxgn","Intestinal infection due to enterotoxigenic E. coli","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00803",TRUE,"Int inf e coli entrnvsv","Intestinal infection due to enteroinvasive E. coli","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00804",TRUE,"Int inf e coli entrhmrg","Intestinal infection due to enterohemorrhagic E. coli","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00809",TRUE,"Int inf e coli spcf NEC","Intestinal infection due to other intestinal E. coli infections","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0081",TRUE,"Arizona enteritis","Intestinal infection due to arizona group of paracolon bacilli","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0082",TRUE,"Aerobacter enteritis","Intestinal infection due to aerobacter aerogenes","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0083",TRUE,"Proteus enteritis","Intestinal infection due to proteus (mirabilis) (morganii)","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0084",FALSE,"Other specified bacteria","Other specified bacteria","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00841",TRUE,"Staphylococc enteritis","Intestinal infection due to staphylococcus","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00842",TRUE,"Pseudomonas enteritis","Intestinal infection due to pseudomonas","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00843",TRUE,"Int infec campylobacter","Intestinal infection due to campylobacter","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00844",TRUE,"Int inf yrsnia entrcltca","Intestinal infection due to yersinia enterocolitica","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00845",TRUE,"Int inf clstrdium dfcile","Intestinal infection due to Clostridium difficile","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00846",TRUE,"Intes infec oth anerobes","Intestinal infection due to other anaerobes","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00847",TRUE,"Int inf oth grm neg bctr","Intestinal infection due to other gram-negative bacteria","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00849",TRUE,"Bacterial enteritis NEC","Intestinal infection due to other organisms","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0085",TRUE,"Bacterial enteritis NOS","Bacterial enteritis, unspecified","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0086",FALSE,"Enteritis due to specified virus","Enteritis due to specified virus","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00861",TRUE,"Intes infec rotavirus","Enteritis due to rotavirus","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00862",TRUE,"Intes infec adenovirus","Enteritis due to adenovirus","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00863",TRUE,"Int inf norwalk virus","Enteritis due to norwalk virus","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00864",TRUE,"Int inf oth sml rnd vrus","Enteritis due to other small round viruses [SRV's]","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00865",TRUE,"Enteritis d/t calicivirs","Enteritis due to calicivirus","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00866",TRUE,"Intes infec astrovirus","Enteritis due to astrovirus","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00867",TRUE,"Int inf enterovirus NEC","Enteritis due to enterovirus nec","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"00869",TRUE,"Other viral intes infec","Enteritis due to other viral enteritis","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0088",TRUE,"Viral enteritis NOS","Intestinal infection due to other organism, not elsewhere classified","008","Intestinal infections due to other organisms","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"009",FALSE,"Ill-defined intestinal infections","Ill-defined intestinal infections","009","Ill-defined intestinal infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0090",TRUE,"Infectious enteritis NOS","Infectious colitis, enteritis, and gastroenteritis","009","Ill-defined intestinal infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0091",TRUE,"Enteritis of infect orig","Colitis, enteritis, and gastroenteritis of presumed infectious origin","009","Ill-defined intestinal infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0092",TRUE,"Infectious diarrhea NOS","Infectious diarrhea","009","Ill-defined intestinal infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0093",TRUE,"Diarrhea of infect orig","Diarrhea of presumed infectious origin","009","Ill-defined intestinal infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"010",FALSE,"Primary tuberculous infection","Primary tuberculous infection","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"0100",FALSE,"Primary tuberculous infection","Primary tuberculous infection","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01000",TRUE,"Prim TB complex-unspec","Primary tuberculous infection, unspecified","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01001",TRUE,"Prim TB complex-no exam","Primary tuberculous infection, bacteriological or histological examination not done","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01002",TRUE,"Prim TB complex-exm unkn","Primary tuberculous infection, bacteriological or histological examination unknown (at present)","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01003",TRUE,"Prim TB complex-micro dx","Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01004",TRUE,"Prim TB complex-cult dx","Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01005",TRUE,"Prim TB complex-histo dx","Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01006",TRUE,"Prim TB complex-oth test","Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"0101",FALSE,"Tuberculous pleurisy in primary progressive tuberculosis","Tuberculous pleurisy in primary progressive tuberculosis","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01010",TRUE,"Prim TB pleurisy-unspec","Tuberculous pleurisy in primary progressive tuberculosis, unspecified","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01011",TRUE,"Prim TB pleurisy-no exam","Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01012",TRUE,"Prim TB pleur-exam unkn","Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01013",TRUE,"Prim TB pleuris-micro dx","Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01014",TRUE,"Prim TB pleurisy-cult dx","Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01015",TRUE,"Prim TB pleuris-histo dx","Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01016",TRUE,"Prim TB pleuris-oth test","Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"0108",FALSE,"Other primary progressive tuberculosis","Other primary progressive tuberculosis","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01080",TRUE,"Prim prog TB NEC-unspec","Other primary progressive tuberculosis, unspecified","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01081",TRUE,"Prim prog TB NEC-no exam","Other primary progressive tuberculosis, bacteriological or histological examination not done","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01082",TRUE,"Prim pr TB NEC-exam unkn","Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01083",TRUE,"Prim prg TB NEC-micro dx","Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01084",TRUE,"Prim prog TB NEC-cult dx","Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01085",TRUE,"Prim prg TB NEC-histo dx","Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01086",TRUE,"Prim prg TB NEC-oth test","Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"0109",FALSE,"Primary tuberculous infection, unspecified","Primary tuberculous infection, unspecified","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01090",TRUE,"Primary TB NOS-unspec","Primary tuberculous infection, unspecified, unspecified","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01091",TRUE,"Primary TB NOS-no exam","Primary tuberculous infection, unspecified, bacteriological or histological examination not done","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01092",TRUE,"Primary TB NOS-exam unkn","Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01093",TRUE,"Primary TB NOS-micro dx","Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01094",TRUE,"Primary TB NOS-cult dx","Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01095",TRUE,"Primary TB NOS-histo dx","Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"01096",TRUE,"Primary TB NOS-oth test","Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","010","Primary tuberculous infection","Tuberculosis","Infectious And Parasitic Diseases"
"011",FALSE,"Pulmonary tuberculosis","Pulmonary tuberculosis","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"0110",FALSE,"Tuberculosis of lung, infiltrative","Tuberculosis of lung, infiltrative","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01100",TRUE,"TB lung infiltr-unspec","Tuberculosis of lung, infiltrative, unspecified","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01101",TRUE,"TB lung infiltr-no exam","Tuberculosis of lung, infiltrative, bacteriological or histological examination not done","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01102",TRUE,"TB lung infiltr-exm unkn","Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01103",TRUE,"TB lung infiltr-micro dx","Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01104",TRUE,"TB lung infiltr-cult dx","Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01105",TRUE,"TB lung infiltr-histo dx","Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01106",TRUE,"TB lung infiltr-oth test","Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"0111",FALSE,"Tuberculosis of lung, nodular","Tuberculosis of lung, nodular","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01110",TRUE,"TB lung nodular-unspec","Tuberculosis of lung, nodular, unspecified","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01111",TRUE,"TB lung nodular-no exam","Tuberculosis of lung, nodular, bacteriological or histological examination not done","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01112",TRUE,"TB lung nodul-exam unkn","Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01113",TRUE,"TB lung nodular-micro dx","Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01114",TRUE,"TB lung nodular-cult dx","Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01115",TRUE,"TB lung nodular-histo dx","Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01116",TRUE,"TB lung nodular-oth test","Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"0112",FALSE,"Tuberculosis of lung with cavitation","Tuberculosis of lung with cavitation","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01120",TRUE,"TB lung w cavity-unspec","Tuberculosis of lung with cavitation, unspecified","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01121",TRUE,"TB lung w cavity-no exam","Tuberculosis of lung with cavitation, bacteriological or histological examination not done","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01122",TRUE,"TB lung cavity-exam unkn","Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01123",TRUE,"TB lung w cavit-micro dx","Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01124",TRUE,"TB lung w cavity-cult dx","Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01125",TRUE,"TB lung w cavit-histo dx","Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01126",TRUE,"TB lung w cavit-oth test","Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"0113",FALSE,"Tuberculosis of bronchus","Tuberculosis of bronchus","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01130",TRUE,"TB of bronchus-unspec","Tuberculosis of bronchus, unspecified","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01131",TRUE,"TB of bronchus-no exam","Tuberculosis of bronchus, bacteriological or histological examination not done","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01132",TRUE,"TB of bronchus-exam unkn","Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01133",TRUE,"TB of bronchus-micro dx","Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01134",TRUE,"TB of bronchus-cult dx","Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01135",TRUE,"TB of bronchus-histo dx","Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
"01136",TRUE,"TB of bronchus-oth test","Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","011","Pulmonary tuberculosis","Tuberculosis","Infectious And Parasitic Diseases"
